State,County,TotalPopulation,LowAccess_1MUrban_10MRural,LowAccess_HalfUrban_10MRural,LowAccess_HalfUrban_10MRural,LowAccess_LowInc_1MUrban_10MRural,LowAccess_LowInc_HalfUrban_10MRural,LowAccess_LowInc_1MUrban_20MRural,LowAccessTotal_HalfM,LowAccess_LowIncTotal_HalfM,LowAccessWhite_HalfM,LowAccessBlack_HalfM,LowAccessAsian_HalfM,LowAccessNHPI_HalfM,LowAccessNAAN_HalfM,LowAccessOther_HalfM,LowAccessHispLatam_HalfM,LowAccessSNAP_HalfM,LowAccessWhite_1M,LowAccessBlack_1M,LowAccessAsian_1M,LowAccessNHPI_1M,LowAccessNAAN_1M,LowAccessOther_1M,LowAccessHispLatam_1M,LowAccessSNAP_1M,LowAccessWhite_10M,LowAccessBlack_10M,LowAccessAsian_10M,LowAccessNHPI_10M,LowAccessNAAN_10M,LowAccessOther_10M,LowAccessHispLatam_10M,LowAccessSNAP_10M,TotalPopulationWhite,TotalPopulationBlack,TotalPopulationAsian,TotalPopulationNHPI,TotalPopulationNAAN,TotalPopulationOther,TotalPopulationHispanicLatam,TotalPopulationSnapBenefits,,
Georgia,Burke County," 23,316 "," 1,745 "," 2,986 ", 830 , 887 ," 1,632 ", 488 ," 10,205 "," 4,795 "," 4,892 "," 5,007 ", 32 , 9 , 23 , 242 , 265 , 797 ," 4,369 "," 3,485 ", 26 , 8 , 20 , 202 , 231 , 595 , 478 , 423 , 4 , -   , 8 , 48 , 50 , 112 ," 11,070 "," 11,533 ", 77 , 20 , 31 , 62 , 216 , 916 ,,
Georgia,Butts County," 23,655 "," 1,966 "," 3,446 "," 1,965 "," 1,011 "," 1,752 "," 1,010 "," 11,224 "," 4,405 "," 7,928 "," 3,001 ", 45 , 2 , 28 , 221 , 277 , 731 ," 7,078 "," 2,426 ", 43 , 2 , 25 , 170 , 234 , 584 , 1 , -   , -   , -   , -   , -   , -   , 0 ," 16,546 "," 6,469 ", 109 , 3 , 26 , 53 , 185 , 841 ,,
Georgia,Calhoun County," 6,694 ", 460 , 460 , -   , 211 , 211 , -   ," 2,932 "," 1,761 "," 1,023 "," 1,806 ", 8 , 9 , 5 , 81 , 107 , 289 , 924 ," 1,560 ", 7 , 9 , 5 , 71 , 98 , 231 , 171 , 278 , 7 , -   , 2 , 14 , 15 , 96 ," 2,326 "," 4,105 ", 30 , 18 , 11 , 22 , 75 , 332 ,,
Georgia,Camden County," 50,513 "," 12,959 "," 17,745 "," 11,314 "," 4,498 "," 6,347 "," 3,804 "," 23,437 "," 7,748 "," 17,591 "," 4,407 ", 327 , 35 , 116 , 961 ," 1,189 "," 1,012 "," 14,319 "," 3,257 ", 235 , 26 , 92 , 723 , 913 , 790 ," 1,069 ", 534 , 7 , 3 , 33 , 69 , 85 , 137 ," 37,557 "," 9,799 ", 724 , 76 , 118 , 236 , 825 ," 1,164 ",,
Georgia,Candler County," 10,998 ", 36 , 36 , -   , 21 , 21 , -   ," 4,848 "," 2,833 "," 3,246 "," 1,149 ", 14 , 0 , 4 , 434 , 535 , 374 ," 2,822 ", 780 , 7 , -   , 3 , 393 , 487 , 305 , 31 , 4 , -   , -   , -   , 1 , 1 , 5 ," 7,253 "," 2,683 ", 57 , 5 , 50 , 100 , 350 , 430 ,,
Georgia,Carroll County," 110,527 "," 29,307 "," 38,158 "," 29,307 "," 10,760 "," 14,886 "," 10,760 "," 51,671 "," 20,174 "," 39,355 "," 9,176 ", 394 , 13 , 182 ," 2,551 "," 3,122 "," 3,121 "," 33,131 "," 6,407 ", 304 , 11 , 149 ," 1,922 "," 2,370 "," 2,474 ", -   , -   , -   , -   , -   , -   , -   , -   ," 83,579 "," 20,089 ", 853 , 32 , 299 , 597 ," 2,091 "," 3,589 ",,
Georgia,Catoosa County," 63,942 "," 11,722 "," 17,693 "," 11,722 "," 3,087 "," 4,939 "," 3,087 "," 27,614 "," 7,374 "," 26,055 ", 473 , 307 , 13 , 92 , 674 , 607 , 961 ," 20,027 ", 339 , 193 , 10 , 77 , 509 , 467 , 682 , -   , -   , -   , -   , -   , -   , -   , -   ," 59,845 "," 1,392 ", 783 , 34 , 94 , 189 , 661 ," 1,105 ",,
Georgia,Charlton County," 12,171 ", 442 , 442 , 3 , 192 , 192 , 1 ," 5,620 "," 2,552 "," 3,952 "," 1,511 ", 34 , 1 , 21 , 101 , 150 , 356 ," 3,482 "," 1,250 ", 25 , 1 , 18 , 78 , 137 , 299 , 428 , 6 , 1 , -   , 4 , 12 , 19 , 66 ," 8,352 "," 3,464 ", 76 , 3 , 14 , 28 , 97 , 410 ,,
Georgia,Chatham County," 265,128 "," 41,985 "," 87,159 "," 41,985 "," 14,325 "," 32,779 "," 14,325 "," 99,901 "," 34,245 "," 54,769 "," 38,237 "," 2,306 ", 95 , 259 ," 4,234 "," 5,369 "," 4,857 "," 31,776 "," 16,926 "," 1,199 ", 39 , 127 ," 2,341 "," 3,009 "," 2,092 ", 0 , -   , -   , -   , -   , -   , -   , 0 ," 140,010 "," 106,392 "," 6,311 ", 254 , 608 ," 1,216 "," 4,256 "," 5,586 ",,
Georgia,Chattahoochee County," 11,267 "," 5,501 "," 5,501 "," 4,051 "," 2,216 "," 2,216 "," 1,476 "," 5,633 "," 2,233 "," 3,876 "," 1,061 ", 123 , 36 , 40 , 496 , 699 , 145 ," 3,876 "," 1,061 ", 123 , 36 , 40 , 496 , 699 , 145 , 894 , 485 , 43 , 1 , 23 , 101 , 75 , 260 ," 7,753 "," 2,123 ", 246 , 72 , 54 , 107 , 376 , 166 ,,
Georgia,Chattooga County," 26,015 "," 4,877 "," 7,948 "," 4,835 "," 2,738 "," 4,358 "," 2,723 "," 11,632 "," 5,779 "," 9,805 "," 1,237 ", 50 , 11 , 29 , 500 , 479 , 755 ," 7,531 ", 509 , 38 , 4 , 20 , 332 , 309 , 536 , 39 , 2 , -   , -   , -   , 1 , 0 , 3 ," 21,828 "," 2,899 ", 108 , 27 , 58 , 115 , 404 , 869 ,,
Georgia,Cherokee County," 214,346 "," 44,206 "," 71,234 "," 44,206 "," 7,558 "," 14,506 "," 7,558 "," 90,192 "," 17,973 "," 79,353 "," 4,589 "," 1,412 ", 43 , 325 ," 4,469 "," 7,637 "," 1,538 "," 56,386 "," 2,606 ", 892 , 16 , 195 ," 2,304 "," 3,860 ", 946 , -   , -   , -   , -   , -   , -   , -   , -   ," 185,536 "," 12,117 "," 3,538 ", 135 , 651 ," 1,302 "," 4,557 "," 1,769 ",,
Georgia,Clarke County," 116,714 "," 23,359 "," 43,625 "," 23,359 "," 12,739 "," 24,231 "," 12,739 "," 47,401 "," 26,217 "," 28,940 "," 12,853 "," 1,914 ", 35 , 101 ," 3,559 "," 5,374 "," 2,547 "," 14,817 "," 8,499 ", 788 , 21 , 67 ," 2,496 "," 3,884 "," 1,493 ", -   , -   , -   , -   , -   , -   , -   , -   ," 72,238 "," 30,988 "," 4,869 ", 84 , 427 , 854 ," 2,987 "," 2,930 ",,
Georgia,Clay County," 3,183 ", 30 , 30 , -   , 18 , 18 , -   ," 1,250 ", 790 , 526 , 696 , 5 , 1 , 5 , 17 , 13 , 196 , 480 , 458 , 5 , 1 , 5 , 11 , 10 , 155 , 7 , 23 , -   , -   , -   , 0 , -   , 10 ," 1,197 "," 1,923 ", 10 , 1 , 3 , 5 , 18 , 225 ,,
Georgia,Clayton County," 259,424 "," 50,843 "," 97,029 "," 50,843 "," 20,783 "," 44,644 "," 20,783 "," 102,481 "," 46,415 "," 19,568 "," 68,154 "," 5,074 ", 52 , 374 ," 9,259 "," 13,277 "," 7,830 "," 10,560 "," 36,906 "," 2,550 ", 29 , 180 ," 3,910 "," 5,390 "," 3,819 ", -   , -   , -   , -   , -   , -   , -   , -   ," 48,960 "," 171,480 "," 12,937 ", 139 ," 1,295 "," 2,591 "," 9,068 "," 9,004 ",,
Georgia,Clinch County," 6,798 ", 263 , 263 , 216 , 175 , 175 , 143 ," 2,897 "," 1,748 "," 1,926 ", 832 , 6 , 2 , 19 , 113 , 104 , 244 ," 1,488 ", 398 , 5 , 2 , 15 , 88 , 91 , 156 , 208 , 36 , -   , -   , 17 , 20 , 11 , 79 ," 4,581 "," 1,886 ", 13 , 4 , 16 , 31 , 110 , 281 ,,
Georgia,Cobb County," 688,078 "," 133,828 "," 265,291 "," 133,828 "," 27,575 "," 61,825 "," 27,575 "," 265,291 "," 61,825 "," 169,981 "," 64,285 "," 11,465 ", 127 , 844 ," 18,588 "," 28,166 "," 7,133 "," 88,585 "," 31,030 "," 5,611 ", 53 , 419 ," 8,130 "," 12,287 "," 3,167 ", -   , -   , -   , -   , -   , -   , -   , -   ," 428,023 "," 171,774 "," 30,657 ", 346 ," 2,864 "," 5,728 "," 20,047 "," 8,203 ",,
Georgia,Coffee County," 42,356 "," 1,532 "," 1,532 ", -   , 598 , 598 , -   ," 18,549 "," 9,002 "," 12,622 "," 4,183 ", 134 , 4 , 55 ," 1,551 "," 2,094 "," 1,150 "," 11,452 "," 2,576 ", 117 , 1 , 51 ," 1,448 "," 1,945 ", 977 ," 1,219 ", 197 , 15 , 2 , 3 , 213 , 317 , 170 ," 27,386 "," 11,283 ", 303 , 15 , 168 , 337 ," 1,179 "," 1,322 ",,
Georgia,Colquitt County," 45,498 "," 6,711 "," 8,240 "," 5,447 "," 2,899 "," 3,907 "," 2,290 "," 19,520 "," 9,533 "," 13,808 "," 2,994 ", 136 , 5 , 103 ," 2,474 "," 3,598 "," 1,499 "," 12,836 "," 1,896 ", 130 , 4 , 91 ," 2,052 "," 2,977 "," 1,215 "," 1,023 ", 78 , 7 , -   , 17 , 369 , 689 , 139 ," 29,441 "," 10,210 ", 294 , 19 , 277 , 553 ," 1,937 "," 1,724 ",,
Georgia,Columbia County," 124,053 "," 22,261 "," 39,678 "," 21,629 "," 3,669 "," 7,094 "," 3,424 "," 50,935 "," 10,067 "," 39,348 "," 7,353 "," 1,937 ", 71 , 163 ," 2,062 "," 2,328 ", 907 ," 24,539 "," 4,781 "," 1,062 ", 41 , 100 ," 1,225 "," 1,383 ", 498 , 528 , 86 , 1 , 1 , 10 , 22 , 23 , 21 ," 94,867 "," 18,439 "," 4,761 ", 201 , 289 , 579 ," 2,025 "," 1,043 ",,
Georgia,Cook County," 17,212 ", 141 , 141 , -   , 67 , 67 , -   ," 7,394 "," 3,549 "," 5,314 "," 1,696 ", 41 , 2 , 16 , 324 , 414 , 509 ," 4,810 "," 1,283 ", 37 , 2 , 16 , 284 , 359 , 444 , 133 , 2 , 1 , -   , 1 , 9 , 8 , 21 ," 11,525 "," 4,704 ", 114 , 5 , 43 , 86 , 302 , 586 ,,
Georgia,Coweta County," 127,317 "," 28,574 "," 38,592 "," 28,557 "," 7,467 "," 10,899 "," 7,462 "," 57,949 "," 15,131 "," 44,899 "," 9,505 ", 775 , 28 , 170 ," 2,572 "," 3,496 "," 1,790 "," 38,560 "," 6,477 ", 584 , 20 , 138 ," 1,845 "," 2,504 "," 1,380 ", 15 , 2 , -   , -   , -   , -   , 0 , 1 ," 96,594 "," 22,029 "," 1,934 ", 68 , 335 , 669 ," 2,342 "," 2,058 ",,
Georgia,Crawford County," 12,630 "," 2,560 "," 2,560 ", -   ," 1,039 "," 1,039 ", -   ," 6,315 "," 2,670 "," 4,714 "," 1,409 ", 16 , 4 , 29 , 142 , 151 , 401 ," 4,714 "," 1,409 ", 16 , 4 , 29 , 142 , 151 , 401 ," 1,596 ", 899 , 23 , -   , 16 , 91 , 82 , 306 ," 9,428 "," 2,818 ", 33 , 8 , 17 , 34 , 120 , 461 ,,
Georgia,Crisp County," 23,439 ", 710 ," 1,873 ", 668 , 410 ," 1,086 ", 390 ," 9,562 "," 5,212 "," 5,543 "," 3,678 ", 55 , 6 , 11 , 270 , 324 , 945 ," 4,400 "," 1,599 ", 28 , 5 , 9 , 175 , 216 , 610 , 42 , 0 , -   , -   , 0 , 0 , 0 , 7 ," 12,487 "," 10,079 ", 183 , 11 , 34 , 68 , 238 ," 1,087 ",,
Georgia,Dade County," 16,633 ", -   , -   , -   , -   , -   , -   ," 7,614 "," 2,701 "," 7,348 ", 59 , 40 , 2 , 35 , 129 , 119 , 295 ," 6,465 ", 54 , 34 , 2 , 33 , 105 , 94 , 259 , -   , -   , -   , -   , -   , -   , -   , -   ," 15,973 ", 145 , 118 , 9 , 19 , 39 , 136 , 339 ,,
Georgia,Dawson County," 22,330 ", 96 , 96 , -   , 29 , 29 , -   ," 10,217 "," 2,797 "," 9,792 ", 38 , 56 , 4 , 39 , 288 , 402 , 418 ," 8,577 ", 30 , 46 , 4 , 35 , 228 , 325 , 369 , 90 , 0 , 4 , -   , 3 , 4 , 3 , 6 ," 21,351 ", 105 , 126 , 9 , 37 , 74 , 259 , 481 ,,
Georgia,Decatur County," 27,842 "," 2,492 "," 3,713 "," 1,561 ", 829 ," 1,282 ", 409 ," 10,731 "," 4,764 "," 6,625 "," 3,619 ", 47 , 3 , 52 , 386 , 531 , 818 ," 5,761 "," 2,723 ", 38 , 3 , 47 , 336 , 475 , 646 , 623 , 255 , 4 , -   , 8 , 94 , 110 , 112 ," 15,096 "," 11,438 ", 144 , 6 , 58 , 116 , 405 , 941 ,,
Georgia,DeKalb County," 691,893 "," 85,198 "," 228,232 "," 85,198 "," 30,175 "," 81,043 "," 30,175 "," 238,279 "," 84,604 "," 70,193 "," 146,717 "," 9,590 ", 103 , 647 ," 11,029 "," 15,087 "," 14,042 "," 17,857 "," 70,345 "," 2,338 ", 28 , 185 ," 2,902 "," 3,123 "," 5,718 ", -   , -   , -   , -   , -   , -   , -   , -   ," 230,156 "," 375,725 "," 35,426 ", 342 ," 2,512 "," 5,024 "," 17,585 "," 16,149 ",,
Georgia,Dodge County," 21,796 ", 37 , 37 , -   , 17 , 17 , -   ," 9,729 "," 4,469 "," 6,569 "," 2,836 ", 37 , 7 , 23 , 258 , 318 , 739 ," 5,553 "," 2,106 ", 25 , 6 , 18 , 185 , 233 , 603 , 32 , 6 , -   , -   , -   , -   , 1 , 7 ," 14,549 "," 6,504 ", 101 , 14 , 31 , 63 , 220 , 850 ,,
Georgia,Dooly County," 14,918 "," 3,772 "," 5,013 "," 3,760 "," 1,878 "," 2,486 "," 1,871 "," 6,009 "," 3,042 "," 3,004 "," 2,773 ", 47 , 1 , 6 , 177 , 291 , 575 ," 2,686 "," 1,903 ", 39 , 1 , 5 , 134 , 220 , 444 , 29 , 13 , -   , -   , -   , 1 , 5 , 13 ," 6,810 "," 7,442 ", 96 , 3 , 28 , 57 , 198 , 662 ,,
Georgia,Dougherty County," 94,565 "," 20,299 "," 32,515 "," 20,283 "," 11,586 "," 18,119 "," 11,580 "," 40,779 "," 22,245 "," 12,196 "," 27,286 ", 293 , 54 , 95 , 855 , 885 ," 4,408 "," 7,658 "," 19,392 ", 142 , 21 , 70 , 506 , 480 ," 3,142 ", 12 , 4 , -   , -   , -   , -   , -   , 3 ," 27,986 "," 63,470 ", 736 , 120 , 113 , 225 , 789 ," 5,069 ",,
Georgia,Douglas County," 132,403 "," 28,455 "," 42,639 "," 28,452 "," 9,928 "," 14,536 "," 9,927 "," 58,352 "," 18,497 "," 30,802 "," 22,922 ", 798 , 65 , 168 ," 3,596 "," 4,966 "," 2,712 "," 22,548 "," 16,123 ", 497 , 50 , 118 ," 2,487 "," 3,501 "," 1,868 ", 3 , -   , -   , -   , -   , 0 , -   , 0 ," 69,458 "," 52,290 "," 1,904 ", 137 , 431 , 861 ," 3,015 "," 3,119 ",,
Georgia,Early County," 11,008 ", 316 , 316 , -   , 143 , 143 , -   ," 4,853 "," 2,576 "," 2,514 "," 2,244 ", 11 , 1 , 14 , 69 , 79 , 430 ," 2,177 "," 1,556 ", 9 , 1 , 13 , 50 , 50 , 335 , 196 , 110 , 1 , -   , 3 , 17 , 14 , 61 ," 5,324 "," 5,462 ", 37 , 2 , 9 , 18 , 64 , 494 ,,
Georgia,Echols County," 4,034 ", 963 , 963 , 8 , 369 , 369 , 3 ," 2,017 ", 914 ," 1,512 ", 86 , 7 , 1 , 36 , 377 , 591 , 75 ," 1,512 ", 86 , 7 , 1 , 36 , 377 , 591 , 75 , 729 , 75 , 9 , 1 , 59 , 250 , 377 , 80 ," 3,023 ", 171 , 13 , 2 , 41 , 83 , 289 , 86 ,,
Georgia,Effingham County," 52,250 "," 5,794 "," 7,528 "," 5,041 "," 1,707 "," 2,202 "," 1,536 "," 25,193 "," 6,636 "," 20,913 "," 3,343 ", 193 , 13 , 77 , 654 , 707 , 787 ," 18,937 "," 2,758 ", 163 , 13 , 67 , 556 , 593 , 701 , 505 , 236 , 5 , -   , 2 , 18 , 15 , 59 ," 43,182 "," 7,048 ", 427 , 26 , 78 , 157 , 548 , 905 ,,
Georgia,Elbert County," 20,166 "," 2,091 "," 2,430 "," 1,688 "," 1,049 "," 1,265 ", 928 ," 9,719 "," 4,485 "," 6,473 "," 2,804 ", 53 , 2 , 24 , 363 , 473 , 777 ," 6,055 "," 2,440 ", 44 , 2 , 24 , 350 , 460 , 715 , 355 , 44 , 3 , 0 , 0 , 4 , 3 , 60 ," 13,297 "," 5,950 ", 121 , 5 , 40 , 79 , 278 , 893 ,,
Georgia,Emanuel County," 22,598 "," 2,884 "," 3,449 "," 1,533 "," 1,662 "," 2,063 ", 969 ," 10,338 "," 5,448 "," 6,599 "," 3,243 ", 64 , 2 , 27 , 403 , 409 , 918 ," 5,937 "," 1,856 ", 50 , 1 , 21 , 339 , 343 , 724 ," 1,191 ", 185 , 13 , -   , 6 , 104 , 105 , 232 ," 13,928 "," 7,562 ", 154 , 3 , 48 , 95 , 333 ," 1,056 ",,
Georgia,Evans County," 11,000 ", -   , -   , -   , -   , -   , -   ," 4,900 "," 2,228 "," 3,062 "," 1,227 ", 34 , 5 , 8 , 564 , 669 , 491 ," 2,643 ", 737 , 22 , 5 , 7 , 438 , 536 , 364 , -   , -   , -   , -   , -   , -   , -   , -   ," 6,471 "," 3,205 ", 74 , 17 , 62 , 123 , 432 , 565 ,,
Georgia,Fannin County," 23,682 ", 263 , 263 , -   , 49 , 49 , -   ," 10,900 "," 3,777 "," 10,609 ", 34 , 35 , 3 , 33 , 186 , 177 , 464 ," 9,583 ", 29 , 31 , 3 , 31 , 161 , 154 , 393 , 258 , 0 , 1 , -   , 4 , 5 , 2 , 12 ," 23,007 ", 83 , 77 , 6 , 25 , 51 , 178 , 533 ,,
Georgia,Fayette County," 106,567 "," 19,559 "," 32,522 "," 19,559 "," 3,138 "," 5,346 "," 3,138 "," 45,594 "," 7,666 "," 32,809 "," 9,060 "," 1,580 ", 29 , 136 ," 1,981 "," 2,811 ", 719 ," 22,456 "," 6,550 ", 897 , 18 , 95 ," 1,414 "," 1,992 ", 486 , -   , -   , -   , -   , -   , -   , -   , -   ," 75,802 "," 21,395 "," 4,130 ", 75 , 258 , 517 ," 1,808 ", 827 ,,
Georgia,Floyd County," 96,317 "," 16,686 "," 25,982 "," 16,655 "," 7,033 "," 11,695 "," 7,028 "," 42,734 "," 17,741 "," 33,575 "," 5,481 ", 576 , 49 , 141 ," 2,913 "," 3,806 "," 2,323 "," 27,532 "," 3,122 ", 468 , 27 , 97 ," 1,706 "," 2,234 "," 1,573 ", 30 , 0 , 0 , -   , -   , 1 , 2 , 1 ," 74,055 "," 13,640 "," 1,253 ", 116 , 363 , 725 ," 2,539 "," 2,671 ",,
Georgia,Forsyth County," 175,511 "," 49,063 "," 69,038 "," 49,063 "," 7,078 "," 9,822 "," 7,078 "," 78,248 "," 11,631 "," 67,646 "," 1,892 "," 4,406 ", 32 , 247 ," 4,025 "," 7,075 "," 1,090 "," 51,371 "," 1,251 "," 2,752 ", 25 , 181 ," 2,586 "," 4,540 ", 831 , -   , -   , -   , -   , -   , -   , -   , -   ," 149,946 "," 4,510 "," 10,925 ", 66 , 503 ," 1,006 "," 3,522 "," 1,254 ",,
Georgia,Franklin County," 22,084 ", -   , -   , -   , -   , -   , -   ," 10,047 "," 4,703 "," 8,923 ", 714 , 52 , 2 , 16 , 341 , 378 , 946 ," 7,626 ", 430 , 41 , 1 , 14 , 253 , 264 , 771 , -   , -   , -   , -   , -   , -   , -   , -   ," 19,280 "," 1,850 ", 121 , 4 , 41 , 83 , 290 ," 1,087 ",,
Georgia,Fulton County," 920,581 "," 135,860 "," 315,569 "," 135,860 "," 41,231 "," 98,218 "," 41,231 "," 315,569 "," 98,218 "," 130,958 "," 151,971 "," 17,094 ", 118 , 729 ," 14,699 "," 20,703 "," 16,016 "," 46,531 "," 78,967 "," 5,368 ", 45 , 261 ," 4,690 "," 5,815 "," 7,302 ", -   , -   , -   , -   , -   , -   , -   , -   ," 409,697 "," 405,575 "," 51,569 ", 335 ," 2,670 "," 5,341 "," 18,692 "," 18,418 ",,
Georgia,Gilmer County," 28,292 "," 2,453 "," 3,200 "," 2,011 "," 1,002 "," 1,356 ", 818 ," 13,926 "," 5,232 "," 12,878 ", 65 , 33 , 18 , 47 , 885 ," 1,295 ", 659 ," 12,176 ", 57 , 29 , 6 , 42 , 633 , 954 , 591 , 432 , 1 , 0 , -   , 1 , 17 , 21 , 39 ," 26,115 ", 135 , 74 , 39 , 96 , 193 , 675 , 758 ,,
Georgia,Glascock County," 3,082 "," 1,074 "," 1,074 ", -   , 427 , 427 , -   ," 1,541 ", 552 ," 1,383 ", 126 , 0 , -   , 3 , 27 , 16 , 83 ," 1,383 ", 126 , 0 , -   , 3 , 27 , 16 , 83 , 958 , 95 , 1 , -   , 6 , 32 , 22 , 116 ," 2,767 ", 253 , 1 , -   , 3 , 6 , 21 , 95 ,,
Georgia,Glynn County," 79,626 "," 13,703 "," 25,987 "," 13,697 "," 4,922 "," 10,064 "," 4,920 "," 32,557 "," 11,835 "," 23,192 "," 7,352 ", 345 , 27 , 91 ," 1,551 "," 2,031 "," 1,972 "," 15,030 "," 3,359 ", 198 , 17 , 61 , 862 ," 1,129 "," 1,019 ", 92 , 20 , 0 , -   , 0 , 2 , 0 , 14 ," 53,823 "," 20,726 ", 921 , 95 , 203 , 406 ," 1,421 "," 2,268 ",,
Georgia,Gordon County," 55,186 "," 5,621 "," 9,685 "," 5,424 "," 2,891 "," 5,136 "," 2,816 "," 24,240 "," 10,377 "," 21,113 ", 798 , 229 , 22 , 93 ," 1,985 "," 2,880 "," 1,336 "," 17,543 ", 532 , 149 , 17 , 64 ," 1,326 "," 1,915 "," 1,025 ", 186 , 1 , 3 , 0 , 2 , 14 , 14 , 18 ," 47,032 "," 2,005 ", 540 , 71 , 277 , 554 ," 1,938 "," 1,537 ",,
Georgia,Grady County," 25,011 ", 516 , 516 , -   , 173 , 173 , -   ," 11,048 "," 4,876 "," 7,230 "," 2,974 ", 41 , 8 , 76 , 719 , 955 , 837 ," 6,501 "," 1,882 ", 30 , 4 , 66 , 463 , 590 , 663 , 382 , 117 , 4 , -   , 2 , 27 , 25 , 55 ," 15,716 "," 7,176 ", 106 , 21 , 100 , 199 , 697 , 963 ,,
Georgia,Greene County," 15,994 "," 1,564 "," 2,464 "," 1,141 ", 801 ," 1,352 ", 603 ," 7,503 "," 3,282 "," 4,304 "," 2,826 ", 27 , 5 , 25 , 317 , 396 , 478 ," 4,011 "," 2,232 ", 25 , 2 , 22 , 206 , 263 , 395 , 210 , 198 , 1 , -   , 3 , 26 , 42 , 48 ," 9,056 "," 6,105 ", 54 , 13 , 38 , 77 , 268 , 550 ,,
Georgia,Gwinnett County," 805,321 "," 156,461 "," 311,299 "," 156,461 "," 39,092 "," 87,937 "," 39,092 "," 311,299 "," 87,937 "," 173,391 "," 73,584 "," 30,823 ", 173 ," 1,385 "," 31,942 "," 54,059 "," 8,209 "," 90,353 "," 38,861 "," 13,417 ", 77 , 559 ," 13,194 "," 21,796 "," 3,644 ", -   , -   , -   , -   , -   , -   , -   , -   ," 429,563 "," 190,167 "," 85,292 ", 477 ," 4,991 "," 9,982 "," 34,938 "," 9,440 ",,
Georgia,Habersham County," 43,041 "," 3,899 "," 4,633 "," 3,825 "," 1,693 "," 2,059 "," 1,675 "," 19,700 "," 7,450 "," 17,162 ", 626 , 395 , 22 , 83 ," 1,413 "," 2,169 ", 921 ," 14,990 ", 509 , 308 , 7 , 66 ," 1,043 "," 1,494 ", 735 , 72 , 0 , 1 , -   , -   , 4 , 1 , 3 ," 36,893 "," 1,444 ", 960 , 65 , 184 , 368 ," 1,288 "," 1,059 ",,
Georgia,Hall County," 179,684 "," 22,490 "," 40,637 "," 22,490 "," 6,626 "," 13,683 "," 6,626 "," 74,573 "," 25,095 "," 57,860 "," 4,968 "," 1,282 ", 44 , 287 ," 10,131 "," 16,622 "," 2,547 "," 42,886 "," 2,669 ", 781 , 28 , 188 ," 5,653 "," 9,444 "," 1,701 ", -   , -   , -   , -   , -   , -   , -   , -   ," 133,197 "," 13,279 "," 3,226 ", 167 ," 1,491 "," 2,982 "," 10,435 "," 2,929 ",,
Georgia,Hancock County," 9,429 "," 2,631 "," 3,270 "," 2,428 "," 1,402 "," 1,808 "," 1,300 "," 4,398 "," 2,235 "," 1,078 "," 3,260 ", 13 , 0 , 17 , 30 , 66 , 376 ," 1,043 "," 2,663 ", 9 , 0 , 16 , 28 , 61 , 301 , 117 , 187 , 2 , -   , 1 , 4 , 7 , 52 ," 2,300 "," 6,983 ", 47 , 1 , 5 , 10 , 34 , 433 ,,
Georgia,Haralson County," 28,780 "," 2,408 "," 3,005 "," 2,403 ", 889 ," 1,101 ", 887 ," 12,724 "," 4,854 "," 11,936 ", 492 , 54 , 1 , 29 , 212 , 131 , 778 ," 10,071 ", 321 , 36 , 1 , 27 , 154 , 96 , 661 , 5 , -   , -   , -   , -   , -   , -   , 1 ," 26,707 "," 1,353 ", 141 , 2 , 29 , 58 , 202 , 895 ,,
Georgia,Harris County," 32,024 ", 206 , 206 , -   , 54 , 54 , -   ," 15,431 "," 3,429 "," 12,343 "," 2,543 ", 142 , 9 , 51 , 344 , 419 , 440 ," 11,593 "," 2,270 ", 130 , 9 , 44 , 326 , 393 , 406 , 143 , 50 , 11 , 3 , 2 , 9 , 11 , 7 ," 25,392 "," 5,506 ", 287 , 17 , 41 , 82 , 288 , 506 ,,
Georgia,Hart County," 25,213 ", -   , -   , -   , -   , -   , -   ," 11,923 "," 5,474 "," 9,262 "," 2,196 ", 104 , -   , 13 , 348 , 366 , 776 ," 8,581 "," 1,680 ", 93 , -   , 10 , 305 , 335 , 694 , -   , -   , -   , -   , -   , -   , -   , -   ," 19,515 "," 4,710 ", 218 , -   , 39 , 77 , 270 , 892 ,,
Georgia,Heard County," 11,834 ", 216 , 216 , -   , 66 , 66 , -   ," 5,788 "," 2,130 "," 5,054 ", 551 , 25 , 1 , 17 , 140 , 103 , 499 ," 4,861 ", 448 , 21 , 1 , 15 , 129 , 98 , 462 , 203 , 4 , 4 , -   , -   , 15 , 8 , 28 ," 10,284 "," 1,159 ", 56 , 3 , 17 , 33 , 116 , 574 ,,
Georgia,Henry County," 203,922 "," 50,411 "," 70,691 "," 50,411 "," 12,598 "," 19,765 "," 12,598 "," 92,135 "," 24,007 "," 52,290 "," 32,892 "," 2,510 ", 57 , 247 ," 4,139 "," 4,894 "," 3,255 "," 43,700 "," 22,195 "," 1,651 ", 39 , 185 ," 2,881 "," 3,370 "," 2,123 ", -   , -   , -   , -   , -   , -   , -   , -   ," 112,201 "," 75,277 "," 5,968 ", 129 , 517 ," 1,035 "," 3,621 "," 3,744 ",,
